id,level,cefr,level_title,function,pattern_no,variation_no,expression,meaning_ko,example_en,example_ko,dialogue_en,dialogue_ko,situation_ko,note_ko,memory_chunk,cloze_prompt,reverse_prompt_ko,memory_tip_ko,confusion_note_ko,review_steps_ko,tags,practice_prompt_ko
1,1,A1,survival chunks,asking,1,1,I want to check it,그걸 확인하고 싶다,I want to check it.,이 예문은 '그걸 확인하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to check it. / B: Of course. Give me a moment.,A: 그걸 확인하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to check it,I want ____ check it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 확인하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to check it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 확인하고 싶다 -> 2 끊어 읽기: I want / to check it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 확인하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
2,1,A1,survival chunks,asking,1,2,I want to try it,그걸 해보고 싶다,You want to try it.,이 예문은 '그걸 해보고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to try it. / B: Of course. Give me a moment.,A: 그걸 해보고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to try it,I want ____ try it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 해보고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to try it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 해보고 싶다 -> 2 끊어 읽기: I want / to try it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 해보고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
3,1,A1,survival chunks,asking,1,3,I want to use it,그걸 사용하고 싶다,We want to use it.,이 예문은 '그걸 사용하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to use it. / B: Of course. Give me a moment.,A: 그걸 사용하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to use it,I want ____ use it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 사용하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to use it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 사용하고 싶다 -> 2 끊어 읽기: I want / to use it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 사용하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
4,1,A1,survival chunks,asking,1,4,I want to fix it,그걸 고치고 싶다,They want to fix it.,이 예문은 '그걸 고치고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to fix it. / B: Of course. Give me a moment.,A: 그걸 고치고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to fix it,I want ____ fix it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 고치고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to fix it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 고치고 싶다 -> 2 끊어 읽기: I want / to fix it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 고치고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
5,1,A1,survival chunks,asking,1,5,I want to send it,그걸 보내고 싶다,My friend wants to send it.,이 예문은 '그걸 보내고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to send it. / B: Of course. Give me a moment.,A: 그걸 보내고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to send it,I want ____ send it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 보내고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to send it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 보내고 싶다 -> 2 끊어 읽기: I want / to send it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 보내고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
6,1,A1,survival chunks,asking,1,6,I want to bring it,그걸 가져오고 싶다,My teacher wants to bring it.,이 예문은 '그걸 가져오고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to bring it. / B: Of course. Give me a moment.,A: 그걸 가져오고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to bring it,I want ____ bring it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 가져오고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to bring it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 가져오고 싶다 -> 2 끊어 읽기: I want / to bring it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 가져오고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
7,1,A1,survival chunks,asking,1,7,I want to write it down,그걸 적고 싶다,My manager wants to write it down.,이 예문은 '그걸 적고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to write it down. / B: Of course. Give me a moment.,A: 그걸 적고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to write it down,I want ____ write it down | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 적고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to write it down'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 적고 싶다 -> 2 끊어 읽기: I want / to write it down -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 적고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
8,1,A1,survival chunks,asking,1,8,I want to look it up,그걸 찾아보고 싶다,The customer wants to look it up.,이 예문은 '그걸 찾아보고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to look it up. / B: Of course. Give me a moment.,A: 그걸 찾아보고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to look it up,I want ____ look it up | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 찾아보고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to look it up'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 찾아보고 싶다 -> 2 끊어 읽기: I want / to look it up -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 찾아보고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
9,1,A1,survival chunks,asking,1,9,I want to think about it,그걸 생각해보고 싶다,The team wants to think about it.,이 예문은 '그걸 생각해보고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to think about it. / B: Of course. Give me a moment.,A: 그걸 생각해보고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to think about it,I want ____ think about it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 생각해보고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to think about it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 생각해보고 싶다 -> 2 끊어 읽기: I want / to think about it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 생각해보고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
10,1,A1,survival chunks,asking,1,10,I want to talk about it,그것에 대해 이야기하고 싶다,Everyone wants to talk about it.,이 예문은 '그것에 대해 이야기하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to talk about it. / B: Of course. Give me a moment.,A: 그것에 대해 이야기하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to talk about it,I want ____ talk about it | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그것에 대해 이야기하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to talk about it'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그것에 대해 이야기하고 싶다 -> 2 끊어 읽기: I want / to talk about it -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그것에 대해 이야기하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
